STATE,PRIM_STATE,LOC_QUOTIENT,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,H_MEAN,Annual_Mean_Wage
Alabama,AL,0.34,419031,Sales Engineers,280.0,0.135,60.71,126270.0
Alabama,AL,1.67,492095,"Electrical And Electronics Repairers, Powerhouse, Substation, And Relay",560.0,0.272,49.87,103740.0
Alabama,AL,2.05,518012,Power Distributors And Dispatchers,250.0,0.122,55.52,115480.0
Alabama,AL,0.71,532021,Air Traffic Controllers,210.0,0.104,52.86,109950.0
Alaska,AK,1.1,110000,Management Occupations,23750.0,76.215,59.74,124260.0
Alaska,AK,2.13,111011,Chief Executives,920.0,2.958,93.74,194980.0
Alaska,AK,0.85,111021,General And Operations Managers,6150.0,19.727,58.09,120820.0
Alaska,AK,0.21,112021,Marketing Managers,160.0,0.519,54.0,112320.0
Alaska,AK,0.69,112022,Sales Managers,820.0,2.625,51.04,106170.0
Alaska,AK,1.43,112032,Public Relations Managers,210.0,0.687,58.39,121450.0
Alaska,AK,1.58,113012,Administrative Services Managers,780.0,2.517,53.23,110710.0
Alaska,AK,2.91,113013,Facilities Managers,790.0,2.521,58.33,121320.0
Alaska,AK,0.52,113021,Computer And Information Systems Managers,640.0,2.045,65.87,137010.0
Alaska,AK,1.2,113031,Financial Managers,1930.0,6.205,71.68,149100.0
Alaska,AK,0.71,113051,Industrial Production Managers,320.0,1.038,63.49,132060.0
Alaska,AK,0.77,113061,Purchasing Managers,120.0,0.393,53.64,111580.0
Alaska,AK,2.33,113071,"Transportation, Storage, And Distribution Managers",950.0,3.053,56.46,117430.0
Alaska,AK,0.97,113111,Compensation And Benefits Managers,40.0,0.12,48.44,100750.0
Alaska,AK,0.92,113121,Human Resources Managers,380.0,1.217,58.21,121080.0
Alaska,AK,0.9,113131,Training And Development Managers,80.0,0.245,59.47,123700.0
Alaska,AK,2.04,119021,Construction Managers,1380.0,4.426,68.96,143450.0
Alaska,AK,0.33,119033,"Education Administrators, Postsecondary",110.0,0.365,64.34,133830.0
Alaska,AK,1.4,119041,Architectural And Engineering Managers,600.0,1.914,76.33,158760.0
Alaska,AK,1.23,119111,Medical And Health Services Managers,1300.0,4.166,71.42,148550.0
Alaska,AK,3.26,119121,Natural Sciences Managers,640.0,2.07,57.28,119140.0
Alaska,AK,5.37,119161,Emergency Management Directors,130.0,0.422,54.97,114330.0
Alaska,AK,1.08,119199,"Managers, All Other",1310.0,4.2,61.49,127900.0
Alaska,AK,1.01,131075,Labor Relations Specialists,130.0,0.417,52.89,110010.0
Alaska,AK,0.67,131082,Project Management Specialists,1310.0,4.197,53.24,110740.0
Alaska,AK,0.22,131111,Management Analysts,380.0,1.207,50.71,105470.0
Alaska,AK,0.4,132051,Financial And Investment Analysts,270.0,0.854,53.16,110580.0
Alaska,AK,0.22,132052,Personal Financial Advisors,120.0,0.388,108.97,226650.0
Alaska,AK,0.41,132054,Financial Risk Specialists,50.0,0.149,48.14,100120.0
Alaska,AK,0.51,151212,Information Security Analysts,180.0,0.587,50.8,105670.0
Alaska,AK,0.44,151241,Computer Network Architects,160.0,0.505,52.87,109980.0
Alaska,AK,0.43,151243,Database Architects,50.0,0.168,60.41,125650.0
Alaska,AK,0.08,151252,Software Developers,280.0,0.893,70.01,145630.0
Alaska,AK,0.62,151299,"Computer Occupations, All Other",560.0,1.792,50.22,104450.0
Alaska,AK,0.77,152041,Statisticians,50.0,0.153,48.91,101730.0
Alaska,AK,1.37,170000,Architecture And Engineering Occupations,7160.0,22.986,50.99,106070.0
Alaska,AK,0.67,171011,"Architects, Except Landscape And Naval",150.0,0.489,53.44,111150.0
Alaska,AK,0.94,172011,Aerospace Engineers,130.0,0.411,48.25,100370.0
Alaska,AK,2.42,172051,Civil Engineers,1630.0,5.224,53.34,110940.0
Alaska,AK,0.42,172061,Computer Hardware Engineers,70.0,0.226,63.42,131920.0
Alaska,AK,1.34,172071,Electrical Engineers,510.0,1.632,52.03,108220.0
Alaska,AK,1.46,172072,"Electronics Engineers, Except Computer",290.0,0.928,57.6,119810.0
Alaska,AK,2.9,172081,Environmental Engineers,240.0,0.763,53.56,111410.0
Alaska,AK,2.18,172111,"Health And Safety Engineers, Except Mining Safety Engineers And Inspectors",100.0,0.323,60.04,124880.0
Alaska,AK,1.04,172131,Materials Engineers,50.0,0.169,56.41,117330.0
Alaska,AK,0.73,172141,Mechanical Engineers,420.0,1.346,53.05,110340.0
Alaska,AK,21.83,172151,"Mining And Geological Engineers, Including Mining Safety Engineers",320.0,1.012,61.9,128760.0
Alaska,AK,7.67,172171,Petroleum Engineers,320.0,1.03,69.78,145140.0
Alaska,AK,1.01,172199,"Engineers, All Other",310.0,1.008,57.88,120390.0
Alaska,AK,2.41,191041,Epidemiologists,50.0,0.162,48.15,100160.0
Alaska,AK,7.4,192042,"Geoscientists, Except Hydrologists And Geographers",370.0,1.2,50.85,105780.0
Alaska,AK,2.96,192099,"Physical Scientists, All Other",130.0,0.406,53.42,111110.0
Alaska,AK,0.83,193033,Clinical And Counseling Psychologists,120.0,0.39,52.55,109300.0
Alaska,AK,0.6,193034,School Psychologists,80.0,0.248,49.32,102590.0
Alaska,AK,0.88,230000,Legal Occupations,2230.0,7.165,50.88,105830.0
Alaska,AK,0.7,231011,Lawyers,1050.0,3.385,65.74,136740.0
Alaska,AK,2.84,231023,"Judges, Magistrate Judges, And Magistrates",140.0,0.457,76.08,158240.0
Alaska,AK,1.07,290000,Healthcare Practitioners And Technical Occupations,20310.0,65.169,55.54,115510.0
Alaska,AK,1.27,291011,Chiropractors,110.0,0.348,64.43,134020.0
Alaska,AK,1.28,291021,"Dentists, General",320.0,1.025,96.98,201720.0
Alaska,AK,0.79,291041,Optometrists,70.0,0.215,71.38,148460.0
Alaska,AK,0.76,291051,Pharmacists,520.0,1.667,72.89,151600.0
Alaska,AK,1.72,291071,Physician Assistants,510.0,1.651,71.39,148480.0
